Original,Character,Dialogue,Wordcount
Captain Drautos:(over radio)Head for Section D as soon as you can. I'll have an evacuation team ready.,Captain Drautos, (over radio) Head for Section D as soon as you can. I'll have an evacuation team ready.,16
Nyx:Don't suppose you could meet me at the gate. I'd kind of like to get the hell out of this city.,Nyx, Don't suppose you could meet me at the gate. I'd kind of like to get the hell out of this city.,21
"Captain Drautos:(over radio)Imperials hold all exits, there's no way through. I'll meet you at Section D. Cut all radio contact until then. And make sure you get there.",Captain Drautos," (over radio) Imperials hold all exits, there's no way through. I'll meet you at Section D. Cut all radio contact until then. And make sure you get there.",27
"Nyx:It's a date, sir.",Nyx," It's a date, sir.",4
Libertus:Ain't no turning back now.,Libertus, Ain't no turning back now.,5
Man 1:(over radio)Status report.,Man 1, (over radio) Status report.,3
Man 2:(over radio)Ulric killed some good men.,Man 2, (over radio) Ulric killed some good men.,6
Man 1:(over radio)What about the Ring?,Man 1, (over radio) What about the Ring?,5
Man 2:(over radio)We don't have it yet.,Man 2, (over radio) We don't have it yet.,6
General Glauca:(over radio)This is Glauca. King Regis is dead. The Ring is on its way to Section D. We must recover the Ring to realize our goal.,General Glauca, (over radio) This is Glauca. King Regis is dead. The Ring is on its way to Section D. We must recover the Ring to realize our goal.,26
"General Glauca:(over radio)If Ulric or the princess get in the way, take them out. Reclaim our hearth and home.",General Glauca," (over radio) If Ulric or the princess get in the way, take them out. Reclaim our hearth and home.",18
"Libertus:""Hearth and home?""",Libertus," ""Hearth and home?""",3
"Man 3:(over walkie-talkie frequency)Libertus, come in. Where are you? Are you all right?",Man 3," (over walkie-talkie frequency) Libertus, come in. Where are you? Are you all right?",12
Libertus:I'm fine. On the way back to base now.,Libertus, I'm fine. On the way back to base now.,9
"Man 3:(over radio)We need you to head to the junction in Section D. We're gonna join up with another unit and make a clean sweep of the place. We're one step away from realizing this revolution. Let's not let Pruvia's death be in vain. We'll be waiting for you, hero.",Man 3," (over radio) We need you to head to the junction in Section D. We're gonna join up with another unit and make a clean sweep of the place. We're one step away from realizing this revolution. Let's not let Pruvia's death be in vain. We'll be waiting for you, hero.",49
"Nyx:Don't move until I say it's safe, all right?",Nyx," Don't move until I say it's safe, all right?",9
Lunafreya:I won't.,Lunafreya, I won't.,2
"Nyx:Ulric, reporting! I have the princess! She's alive and well!",Nyx," Ulric, reporting! I have the princess! She's alive and well!",10
Nyx:Get out of here!,Nyx, Get out of here!,4
"Luche:You've got some fight in you, Nyx, I'll give you that.",Luche," You've got some fight in you, Nyx, I'll give you that.",11
Nyx:Run! Now!,Nyx, Run! Now!,2
Luche:I can't believe you're still moving with that hollow point in you. All Crowe could do was scream when one tore her insides apart.,Luche, I can't believe you're still moving with that hollow point in you. All Crowe could do was scream when one tore her insides apart.,24
Nyx:Why'd you do it?,Nyx, Why'd you do it?,4
Luche:Because the Kingsglaive is nothing! An old man's battle fodder sent to die in Insomnia's war while our homes are bound and shackled.,Luche, Because the Kingsglaive is nothing! An old man's battle fodder sent to die in Insomnia's war while our homes are bound and shackled.,23
Nyx:Niflheim took your home. Took all our homes! Nothing will ever change that.,Nyx, Niflheim took your home. Took all our homes! Nothing will ever change that.,13
Luche:You never were too smart. You could've had a new future with the Empire.,Luche, You never were too smart. You could've had a new future with the Empire.,14
"Luche:There's nowhere to run, princess. The Ring, give it to me.",Luche," There's nowhere to run, princess. The Ring, give it to me.",11
Luche:So many dead over so simple a thing. But why? For what?,Luche, So many dead over so simple a thing. But why? For what?,12
"Lunafreya:Power. Untold power, beyond the control of someone like you.",Lunafreya," Power. Untold power, beyond the control of someone like you.",10
Nyx:Captain.,Nyx, Captain.,1
"Drautos/Glauca:It's over. The daemons are unleashed, Lucis is fallen. Surrender the Ring.",Drautos/Glauca," It's over. The daemons are unleashed, Lucis is fallen. Surrender the Ring.",12
"Nyx:Plan on giving those kings a piece of your mind, princess? You got a destiny to take care of here, remember? Besides, didn't anyone tell you? I'm the hero around here.",Nyx," Plan on giving those kings a piece of your mind, princess? You got a destiny to take care of here, remember? Besides, didn't anyone tell you? I'm the hero around here.",31
"Nyx:Show yourselves, kings of Lucis!",Nyx," Show yourselves, kings of Lucis!",5
"Nyx:How long will you do nothing whilst Insomnia burns? Old or New, or whatever it is. Summon your Wall!",Nyx," How long will you do nothing whilst Insomnia burns? Old or New, or whatever it is. Summon your Wall!",19
"The Mystic:It does not fall to us to guard your city. Man is a fool creature, clinging to his past and cowering from his future. Wasting his strength on bygone days.",The Mystic," It does not fall to us to guard your city. Man is a fool creature, clinging to his past and cowering from his future. Wasting his strength on bygone days.",30
Nyx:And what future are you wards of?,Nyx, And what future are you wards of?,7
Oracle King:So short-sighted and cursed never to rise above it.,Oracle King, So short-sighted and cursed never to rise above it.,9
"King Regis:Wait. I have seen what this brave soul is prepared to do. He, too, seeks to safeguard the future.",King Regis," Wait. I have seen what this brave soul is prepared to do. He, too, seeks to safeguard the future.",19
Nyx:Your Majesty...,Nyx, Your Majesty...,2
"The Mystic:Very well, young king. We will weigh your warrior's worth. But our boon does not come cheap. The cost is a life.",The Mystic," Very well, young king. We will weigh your warrior's worth. But our boon does not come cheap. The cost is a life.",22
The Mystic: His...or hers.,The Mystic,His...or hers.,3
Nyx:No. To hell with your power! I'm not here for it. I only came to tell you: you are no kings!,Nyx, No. To hell with your power! I'm not here for it. I only came to tell you you are no kings!,21
The Mystic:Your worth has been weighed and found wanting. Now burn!,The Mystic, Your worth has been weighed and found wanting. Now burn!,10
Nyx:You're going to lose your precious Ring! But it's not too late to save it.,Nyx, You're going to lose your precious Ring! But it's not too late to save it.,15
The Oracle:You mean to barter for your life?,The Oracle, You mean to barter for your life?,7
"Nyx:No, no. My life is nothing. Giving a future to those who want to see it...is everything.",Nyx," No, no. My life is nothing. Giving a future to those who want to see it...is everything.",17
"The Oracle:Hmm. You do not fear, even if that future is doomed.",The Oracle," Hmm. You do not fear, even if that future is doomed.",11
The Mystic:And the price for it will be your life.,The Mystic, And the price for it will be your life.,9
Nyx:You guys drive a hard bargain. Where do I sign?,Nyx, You guys drive a hard bargain. Where do I sign?,10
Nyx:I could get used to this.,Nyx, I could get used to this.,6
Libertus:Nyx...I'm sorry.,Libertus, Nyx...I'm sorry.,2
"Nyx:Don't be. You saved me, now I owe you.",Nyx," Don't be. You saved me, now I owe you.",9
Libertus:For a change.,Libertus, For a change.,3
"Nyx:I'm gonna need another favor. Meet Lunafreya Nox Fleuret, our prince's beloved bride-to-be. She has the future of the world in her hands. Keep her safe, get her out of Insomnia. Oh, I almost forgot. You'll need this.",Nyx," I'm gonna need another favor. Meet Lunafreya Nox Fleuret, our prince's beloved bride-to-be. She has the future of the world in her hands. Keep her safe, get her out of Insomnia. Oh, I almost forgot. You'll need this.",38
"Nyx:Give Prince Noctis my regards. Libertus will take care of you from here. Have a safe journey, Your Highness.",Nyx," Give Prince Noctis my regards. Libertus will take care of you from here. Have a safe journey, Your Highness.",19
Lunafreya:What will come of you?,Lunafreya, What will come of you?,5
Libertus:What the hell are you doing?,Libertus, What the hell are you doing?,6
Nyx:Following the kings's orders.,Nyx, Following the kings's orders.,4
"Lunafreya:I will see the Ring to Noctis. The future will be safe, I swear it.",Lunafreya," I will see the Ring to Noctis. The future will be safe, I swear it.",15
Nyx:Planning on punching your way out of the city? Keep it. Now we're even.,Nyx, Planning on punching your way out of the city? Keep it. Now we're even.,14
Libertus:No. We'll settle up once you're back in Galahd. Me and everyone else will be waiting for you. I'm counting on you...hero.,Libertus, No. We'll settle up once you're back in Galahd. Me and everyone else will be waiting for you. I'm counting on you...hero.,22
"Libertus:Buckle up, princess.",Libertus," Buckle up, princess.",3
Lunafreya:My life is in your hands.,Lunafreya, My life is in your hands.,6
"Drautos/Glauca:So, the power of the Lucii returns. No matter. You are out of time.",Drautos/Glauca," So, the power of the Lucii returns. No matter. You are out of time.",14
"Nyx:For you, I'll make some.",Nyx," For you, I'll make some.",5
Drautos/Glauca:What can you hope to do? One man against an empire. Against the daemons. How will you save Insomnia with no Wall to protect you?,Drautos/Glauca, What can you hope to do? One man against an empire. Against the daemons. How will you save Insomnia with no Wall to protect you?,25
Nyx:You've got it all wrong. I'm not fighting to save Insomnia.,Nyx, You've got it all wrong. I'm not fighting to save Insomnia.,11
Chancellor Izunia:So this is the might of the Old Wall. Marvelous. Truly marvelous.,Chancellor Izunia, So this is the might of the Old Wall. Marvelous. Truly marvelous.,12
Nyx:Why'd you do it?,Nyx, Why'd you do it?,4
"Drautos/Glauca:Lucis. Niflheim. It isn'twhowe fight for that matters, only what. We fight for our homes. That is where our allegiance lies.",Drautos/Glauca," Lucis. Niflheim. It isn't who we fight for that matters, only what. We fight for our homes. That is where our allegiance lies.",21
Libertus:That's not something you see every day.,Libertus, That's not something you see every day.,7
"Chancellor Izunia:Oh, such a pitiable waste. All those beautiful city streets, all laid to unsightly ruin.",Chancellor Izunia," Oh, such a pitiable waste. All those beautiful city streets, all laid to unsightly ruin.",15
Emperor Aldercapt:I will return to Niflheim.,Emperor Aldercapt, I will return to Niflheim.,5
Chancellor Izunia:So soon?,Chancellor Izunia, So soon?,2
"Emperor Aldercapt:The Crystal is ours. Finish this, and see the daemons disposed of.",Emperor Aldercapt," The Crystal is ours. Finish this, and see the daemons disposed of.",12
Chancellor Izunia:As you command. Such a pitiable waste...,Chancellor Izunia, As you command. Such a pitiable waste...,7
Nyx:How could you serve the Empire? After everything they did!,Nyx, How could you serve the Empire? After everything they did!,10
"Drautos/Glauca:I do not fault them for taking what was given. I fault the man who gave it. The man who cowered behind his Wall and abandoned us to save his throne and his son. Give me the Ring, and our homes will be free again. The Empire has promised it.",Drautos/Glauca," I do not fault them for taking what was given. I fault the man who gave it. The man who cowered behind his Wall and abandoned us to save his throne and his son. Give me the Ring, and our homes will be free again. The Empire has promised it.",50
Nyx:I don't see much of a future on the other side of that promise.,Nyx, I don't see much of a future on the other side of that promise.,14
"Drautos/Glauca:Don't be a fool. Save your friends. Give your dead sister peace. What do you fight for, if not that?",Drautos/Glauca," Don't be a fool. Save your friends. Give your dead sister peace. What do you fight for, if not that?",20
Libertus:Hang on. This could get bumpy.,Libertus, Hang on. This could get bumpy.,6
"Libertus:Here, take the wheel.",Libertus," Here, take the wheel.",4
Libertus:Floor it!,Libertus, Floor it!,2
Libertus:Just keep your foot on the gas.,Libertus, Just keep your foot on the gas.,7
Libertus:You're alright?,Libertus, You're alright?,2
"Libertus:I'll be waiting for you, hero.",Libertus," I'll be waiting for you, hero.",6
Drautos/Glauca:What of your kings's power now? They've given you a burden you cannot hope to bear. I told you before :just wanting doesn't win wars.,Drautos/Glauca, What of your kings's power now? They've given you a burden you cannot hope to bear. I told you before just wanting doesn't win wars.,25
"Drautos/Glauca:For the honor of my home, I fought and killed under a king I loathed. And still, he betrayed me. He betrayed usall.",Drautos/Glauca," For the honor of my home, I fought and killed under a king I loathed. And still, he betrayed me. He betrayed us all.",23
"Nyx:We fought for the same thing. All of us. But you've looked too long on the past, you're blind to the future.",Nyx," We fought for the same thing. All of us. But you've looked too long on the past, you're blind to the future.",22
"Drautos/Glauca:Predictable. Unlike you, I learn from history.",Drautos/Glauca," Predictable. Unlike you, I learn from history.",7
Nyx:But you're a slave to the past.,Nyx, But you're a slave to the past.,7
Drautos/Glauca:A man's past is his pride.,Drautos/Glauca, A man's past is his pride.,6
Nyx:No. My pride is shaping the future.,Nyx, No. My pride is shaping the future.,7
Nyx:Looks like I'm gonna owe him big.,Nyx, Looks like I'm gonna owe him big.,7
Lunafreya:We're almost there.,Lunafreya, We're almost there.,3
"Nyx:King Regis did what he did for the future. Because of him, there's still hope for our homes.",Nyx," King Regis did what he did for the future. Because of him, there's still hope for our homes.",18
"Nyx:Not the worst way to go. Rule well, young king.",Nyx," Not the worst way to go. Rule well, young king.",10
"Libertus:We should move. It ain't safe here either. Hey, don't worry about Nyx. He can take care of himself. Come on.",Libertus," We should move. It ain't safe here either. Hey, don't worry about Nyx. He can take care of himself. Come on.",21
Lunafreya:No. We must part ways here.,Lunafreya, No. We must part ways here.,6
"Lunafreya:I can hardly travel in secrecy alongside so great a hero. And I, too, have a promise to keep to Nyx. I pray you two see each other again soon.",Lunafreya," I can hardly travel in secrecy alongside so great a hero. And I, too, have a promise to keep to Nyx. I pray you two see each other again soon.",30
"Libertus:Yeah. Me, too.",Libertus," Yeah. Me, too.",3
"Lunafreya:Thank you, Libertus.",Lunafreya," Thank you, Libertus.",3
"Libertus:Hey, queen! You and the king are always welcome in Galahd! Me and Nyx will be waiting for you!",Libertus," Hey, queen! You and the king are always welcome in Galahd! Me and Nyx will be waiting for you!",19
Ignis Scientia:It's been some while. Do you remember the last time you saw Lady Lunafreya?,Ignis Scientia, It's been some while. Do you remember the last time you saw Lady Lunafreya?,14
Noctis:About twelve years ago.,Noctis, About twelve years ago.,4
Prompto Argentum:That would make you eight? You were kids!,Prompto Argentum, That would make you eight? You were kids!,8
Gladiolus Amicitia:Hope she hasn't gotten her hopes up.,Gladiolus Amicitia, Hope she hasn't gotten her hopes up.,7
"Noctis:Why not?(to Prompto, who laughs)Calm yourself.",Noctis," Why not? (to Prompto, who laughs) Calm yourself.",6
Gladiolus:Try and keep it together when you meet her.,Gladiolus, Try and keep it together when you meet her.,9
Ignis:She'll expect to see a fine young prince.,Ignis, She'll expect to see a fine young prince.,8
Noctis:Tell me something I don't know.,Noctis, Tell me something I don't know.,6
"Ignis:We don't have time for all that. But this is your wedding we're talking about, Noct.",Ignis," We don't have time for all that. But this is your wedding we're talking about, Noct.",16
"Noctis:Knew that, too.(to Prompto, who laughs again)You really gotta calm down.",Noctis," Knew that, too. (to Prompto, who laughs again) You really gotta calm down.",11
"Gladiolus:What do you mean, ""uh-oh?""",Gladiolus," What do you mean, ""uh-oh?""",5
Noctis:I think I know.,Noctis, I think I know.,4
