Original,Character,Dialogue,Wordcount
"Lunafreya:It has been a long time, Your Majesty.",Lunafreya," It has been a long time, Your Majesty.",8
King Regis:Yes. Far too long.,King Regis, Yes. Far too long.,4
"Lunafreya:Prince Noctis isn't here, is he?",Lunafreya," Prince Noctis isn't here, is he?",6
"King Regis:No, my dear. He is not. I am too old to fight this war. I have no choice but to receive the Empire and accept their treaty. Even so...I had hoped to hold the wedding elsewhere, somewhere safe. I sent one of my Glaive to see you there, but--",King Regis," No, my dear. He is not. I am too old to fight this war. I have no choice but to receive the Empire and accept their treaty. Even so...I had hoped to hold the wedding elsewhere, somewhere safe. I sent one of my Glaive to see you there, but--",49
"King Regis:It is not too late. I can ready an escort. Please, go to my son.",King Regis," It is not too late. I can ready an escort. Please, go to my son.",15
"Lunafreya:No. Wherever I go, the Empire will follow. It would only place the prince in greater danger. It is my duty to protect the prince and see his destiny fulfilled. These twelve years have not changed that.",Lunafreya," No. Wherever I go, the Empire will follow. It would only place the prince in greater danger. It is my duty to protect the prince and see his destiny fulfilled. These twelve years have not changed that.",37
King Regis:And what of your destiny?,King Regis, And what of your destiny?,5
"Lunafreya:My duty is my destiny, Your Majesty. I'm prepared to accept whatever may come to pass.",Lunafreya," My duty is my destiny, Your Majesty. I'm prepared to accept whatever may come to pass.",16
"Man 1:So, what do you think? All these lands will be imperial soon. Reckon things will get better when them Niffs start calling the shots?",Man 1," So, what do you think? All these lands will be imperial soon. Reckon things will get better when them Niffs start calling the shots?",24
"Man 2:Not one damn bit. Don't matter who's calling the shots: as long as they're calling them from behind the Wall, ain't nothing gonna change around here.",Man 2," Not one damn bit. Don't matter who's calling the shots as long as they're calling them from behind the Wall, ain't nothing gonna change around here.",26
Man 2:(off-screen)Get over here!,Man 2, (off-screen) Get over here!,3
Man 2:That's a hand!,Man 2, That's a hand!,3
Captain Drautos:I trust the reunion was a happy one?,Captain Drautos, I trust the reunion was a happy one?,8
Nyx:Has she been a hostage of Niflheim all this time?,Nyx, Has she been a hostage of Niflheim all this time?,10
"Captain Drautos:She's a symbol of the peace, that's all I'm told.",Captain Drautos," She's a symbol of the peace, that's all I'm told.",10
Nyx:Doesn't sound like it. Sounds like she's here for something much bigger than that.,Nyx, Doesn't sound like it. Sounds like she's here for something much bigger than that.,14
Captain Drautos:Your orders are to protect her.,Captain Drautos, Your orders are to protect her.,6
"Captain Drautos:Not to look, not to listen, not to think. Understood?(answering)Drautos. Yes, report.",Captain Drautos," Not to look, not to listen, not to think. Understood? (answering) Drautos. Yes, report.",12
"Libertus:Get the hell out of my way! That's my friend you got in there, damn it!",Libertus," Get the hell out of my way! That's my friend you got in there, damn it!",16
"Medic:Sir, you can't go in until the examination has ended.",Medic," Sir, you can't go in until the examination has ended.",10
Libertus:What examination? What the hell's going on?,Libertus, What examination? What the hell's going on?,7
"Nyx:Hey! Hey, take it easy, big guy.",Nyx," Hey! Hey, take it easy, big guy.",7
Libertus:These bastards rushed Crowe in there the moment she got back. And now they won't let me in to see her.,Libertus, These bastards rushed Crowe in there the moment she got back. And now they won't let me in to see her.,21
Captain Drautos:Crowe's personal effects. Do with them as you see fit.,Captain Drautos, Crowe's personal effects. Do with them as you see fit.,10
"Libertus:So, what kind of mission did you really send her on? No Glaive winds up dead on a standard escort.",Libertus," So, what kind of mission did you really send her on? No Glaive winds up dead on a standard escort.",20
"Captain Drautos:I'll see the armistice does not interfere with a full investigation. She was a good soldier, her death will not go unanswered.",Captain Drautos," I'll see the armistice does not interfere with a full investigation. She was a good soldier, her death will not go unanswered.",22
"Libertus:What a life, huh? She was brought up an orphan. Run out of her village. I still remember the first time I saw her. Scrawny little thing, all covered in dirt. Not a friend in the world. But those eyes...damn. There was something about those eyes. She deserved better. And I would've done anything to give it to--",Libertus," What a life, huh? She was brought up an orphan. Run out of her village. I still remember the first time I saw her. Scrawny little thing, all covered in dirt. Not a friend in the world. But those eyes...damn. There was something about those eyes. She deserved better. And I would've done anything to give it to--",58
"Nyx:Libertus, wait. Crowe died a Glaive. You can still honor her by fighting as one.",Nyx," Libertus, wait. Crowe died a Glaive. You can still honor her by fighting as one.",15
